"year","source","d_form","c_code","code","code2","price","generic","volume","cost","prefecture","area","category"
2022,"pharmacy","oral",642,620005928,"6429007F1033",344.8,0,0,0,"Fukushima","Tōhoku","Anthelmintics"
2020,"pharmacy","oral",117,622200601,"1179042F1011",10.1,1,220028.75,2222290.375,"Niigata","Chūbu","Psychotropic drugs"
2018,"pharmacy","oral",218,610470013,"2189012F2026",56.5,0,379858,21461977,"Aomori","Tōhoku","Antihyperlipidemic agents"
2023,"pharmacy","oral",312,613120052,"3122006F2034",5.9,0,0,0,"Kyōto","Kinki","Vitamin B1 preparations"
2021,"outpatients","oral",213,610432035,"2139009F2022",31.3,0,5838.25,182737.225,"Kōchi","Shikoku","Diuretics"
2022,"outpatients","oral",124,611240056,"1249007F1032",5.9,0,8552,50456.8,"Wakayama","Kinki","Antispasmodics"
2015,"outpatients","injection",721,621176405,"7211404X1037",4947,0,1482,7331454,"Ibaraki","Kantō","X-ray contrast media"
2019,"outpatients","oral",119,622669901,"1190026F3020",148.7,0,20797,3092513.9,"Nara","Kinki","Other central nervous system drugs"
2022,"pharmacy","oral",312,613120002,"3122007F3027",8.3,0,169057,1403173.1,"Wakayama","Kinki","Vitamin B1 preparations"
2017,"pharmacy","topical",625,666250002,"6250701M1027",305.7,0,0,0,"Nagano","Chūbu","Antiviral agents"
2019,"outpatients","topical",245,620518102,"2451700Q1016",11.9,0,203612.602,2422989.9638,"Saitama","Kantō","Adrenocortical hormone preparations"
2023,"outpatients","injection",611,621487804,"6113400A1014",648,1,0,0,"Tochigi","Kantō","Agents mainly active against Gram-positive bacteria"
2020,"hospitalized","oral",396,622560301,"3969009F4030",14.6,1,11122.5,162388.5,"Kagoshima","Kyūshū","Antidiabetic drugs"
2022,"pharmacy","injection",634,629903801,"6343432G6027",152382,0,0,0,"Ishikawa","Chūbu","Blood products"
2015,"outpatients","injection",214,622036401,"2149400A3011",393,1,0,0,"Chiba","Kantō","Antihypertensive agents"
2018,"pharmacy","oral",422,622294601,"4229101M1068",251.8,1,0,0,"Hiroshima","Chūgoku","Antimetabolites"
2023,"outpatients","topical",625,620008961,"6250700M1189",172.8,0,91710,15847488,"Ōsaka","Kinki","Antiviral agents"
2017,"pharmacy","oral",247,620004549,"2479003F2140",102.5,0,6466,662765,"Okinawa","Kyūshū","Estrogen and progestogen preparations"
2018,"pharmacy","oral",219,621977801,"2190024F4022",6.3,0,137482.5,866139.75,"Ehime","Shikoku","Other cardiovascular drugs"
2018,"outpatients","injection",325,620007184,"3253404A3055",364,0,1504,547456,"Fukui","Chūbu","Protein and amino acid preparations"
2022,"pharmacy","oral",332,620002506,"3321002F2366",9,0,77976,701784,"Fukui","Chūbu","Hemostatic agents"
2017,"pharmacy","injection",634,622489601,"6343447D4024",170154,0,0,0,"Nagano","Chūbu","Blood products"
2023,"pharmacy","injection",241,620514306,"2413402X4013",1290,0,0,0,"Yamanashi","Chūbu","Pituitary hormone preparations"
2018,"outpatients","oral",399,620005895,"3999023F1022",549.5,0,22252,12227474,"Yamagata","Tōhoku","Metabolic agents not elsewhere classified"
2022,"hospitalized","injection",239,622186301,"2391404G1022",10209,0,1387,14159883,"Gunma","Kantō","Other gastrointestinal drugs"
2021,"hospitalized","injection",323,620006641,"3231401A1132",66,0,7842,517572,"Kagawa","Shikoku","Carbohydrate preparations"
2018,"outpatients","injection",339,643390007,"3399405A1027",7845,0,0,0,"Chiba","Kantō","Other blood and body fluid agents"
2019,"hospitalized","topical",264,622259401,"2649735S3080",17,1,6173,104941,"Hiroshima","Chūgoku","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2019,"outpatients","topical",264,622260301,"2649735S3136",19.8,1,338965,6711507,"Fukui","Chūbu","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2021,"hospitalized","oral",625,622276902,"6250019F1349",112.4,1,0,0,"Iwate","Tōhoku","Antiviral agents"
2016,"pharmacy","oral",212,620002066,"2123011F1155",50.6,0,42288,2139772.8,"Tottori","Chūgoku","Antiarrhythmic agents"
2017,"outpatients","injection",422,622460501,"4224403A4025",9995,1,0,0,"Ibaraki","Kantō","Antimetabolites"
2017,"outpatients","oral",225,610463206,"2251001G3036",8.6,0,0,0,"Gifu","Chūbu","Bronchodilators"
2021,"hospitalized","oral",116,622589801,"1169015F3029",1449.1,0,0,0,"Ishikawa","Chūbu","Anti-Parkinson drugs"
2015,"outpatients","oral",520,615101045,"5200090F1022",5.6,0,906776,5077945.6,"Ehime","Shikoku","Kampo preparations"
2015,"hospitalized","topical",132,620004261,"1329707Q3052",1518.1,0,0,0,"Niigata","Chūbu","Otorhinolaryngological preparations"
2018,"pharmacy","oral",616,620008440,"6169001M1026",774.5,0,3031,2347509.5,"Hyōgo","Kinki","Agents mainly active against mycobacteria"
2022,"hospitalized","injection",117,622278701,"1179409G5020",58498,0,932,54520136,"Fukuoka","Kyūshū","Psychotropic drugs"
2020,"outpatients","topical",333,620813101,"3334700M1063",12.1,0,0,0,"Miyazaki","Kyūshū","Anticoagulants"
2021,"hospitalized","oral",510,615102098,"5100171X1036",1.15,0,0,0,"Yamanashi","Chūbu","Crude drugs"
2016,"outpatients","oral",117,611170824,"1179037F1037",16.8,0,114231,1919080.8,"Yamaguchi","Chūgoku","Psychotropic drugs"
2018,"pharmacy","topical",719,667190002,"7190700X1031",3.68,1,0,0,"Shizuoka","Chūbu","Other pharmaceutical compounding agents"
2017,"pharmacy","oral",114,620079311,"1147002F1641",5.6,1,12193,68280.8,"Wakayama","Kinki","Antipyretic, analgesic and anti-inflammatory drugs"
2023,"pharmacy","topical",333,620009048,"3339950M1137",19.2,0,4673489,89730988.8,"Kōchi","Shikoku","Anticoagulants"
2020,"hospitalized","oral",218,622789701,"2189018F2023",63.1,1,0,0,"Gifu","Chūbu","Antihyperlipidemic agents"
2021,"outpatients","oral",442,622108402,"4420002F2016",14.7,1,0,0,"Yamaguchi","Chūgoku","Stimulation therapy agents"
2015,"pharmacy","oral",811,610462037,"8115004B2015",156.3,0,0,0,"Toyama","Chūbu","Opium alkaloid narcotics"
2019,"outpatients","injection",219,640453085,"2190413F3020",20777,0,0,0,"Shimane","Chūgoku","Other cardiovascular drugs"
2016,"pharmacy","oral",214,622468801,"2149116F2051",62.1,1,849257,52738859.7,"Ōsaka","Kinki","Antihypertensive agents"
2017,"pharmacy","injection",325,620000277,"3253404A4043",661,1,0,0,"Iwate","Tōhoku","Protein and amino acid preparations"
2021,"hospitalized","oral",811,620003166,"8114005N2027",1346.7,0,0,0,"Kanagawa","Kantō","Opium alkaloid narcotics"
2016,"outpatients","oral",614,620002885,"6149002F1061",36,1,0,0,"Niigata","Chūbu","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2021,"outpatients","oral",629,621148801,"6290100F2018",15.9,0,13681,217527.9,"Iwate","Tōhoku","Other chemotherapeutic agents"
2022,"pharmacy","oral",811,622540201,"8119002F2025",94.7,1,0,0,"Kagoshima","Kyūshū","Opium alkaloid narcotics"
2015,"outpatients","injection",211,620007163,"2119405D1035",1111,0,0,0,"Tottori","Chūgoku","Cardiotonic agents"
2017,"outpatients","oral",117,621929501,"1179051F1037",170.2,0,0,0,"Aichi","Chūbu","Psychotropic drugs"
2021,"outpatients","injection",322,622676601,"3222404A1021",6078,0,619,3762282,"Nagasaki","Kyūshū","Mineral preparations"
2020,"hospitalized","oral",218,620000103,"2189010F1055",13.1,1,2077,27208.7,"Shimane","Chūgoku","Antihyperlipidemic agents"
2021,"outpatients","oral",391,620008775,"3919300F1190",5.7,1,6722,38315.4,"Gifu","Chūbu","Drugs for liver diseases"
2019,"outpatients","oral",449,622627001,"4490035F2023",144.1,0,2769,399012.9,"Aomori","Tōhoku","Other antiallergic agents"
2017,"hospitalized","topical",265,620006533,"2655708N1016",10.7,1,0,0,"Nara","Kinki","Antiparasitic dermatological agents"
2015,"pharmacy","injection",331,620008529,"3311402G7050",114,1,5998,683772,"Hokkaidō","Hokkaidō","Blood substitutes"
2017,"hospitalized","injection",399,620002556,"3992400A2138",60,0,1589,95340,"Ishikawa","Chūbu","Metabolic agents not elsewhere classified"
2015,"pharmacy","oral",223,620390501,"2239001Q1190",5.1,1,0,0,"Akita","Tōhoku","Expectorants"
2017,"pharmacy","oral",625,622269301,"6250019F1209",219.4,1,20041,4396995.4,"Kumamoto","Kyūshū","Antiviral agents"
2015,"hospitalized","oral",613,621075101,"6131002R1110",13.1,0,0,0,"Nagano","Chūbu","Agents mainly active against Gram-positive and Gram-negative bacteria"
2020,"outpatients","topical",821,622305202,"8219700S5077",1213.7,1,0,0,"Shiga","Kinki","Synthetic narcotics"
2018,"hospitalized","topical",264,622250302,"2649735S3276",19.8,1,11590,229482,"Saitama","Kantō","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2019,"hospitalized","oral",625,620004998,"6250014F1036",821,0,0,0,"Nagasaki","Kyūshū","Antiviral agents"
2015,"hospitalized","oral",422,614210003,"4223003F2038",317.9,0,0,0,"Okinawa","Kyūshū","Antimetabolites"
2016,"hospitalized","oral",232,621965801,"2329021F1226",9.9,1,100545,995395.5,"Aomori","Tōhoku","Anti-peptic ulcer agents"
2020,"pharmacy","oral",114,610443080,"1149036F2021",18.6,0,107974,2008316.4,"Shiga","Kinki","Antipyretic, analgesic and anti-inflammatory drugs"
2015,"outpatients","oral",622,616220005,"6222001F2014",9.6,0,0,0,"Nagasaki","Kyūshū","Antituberculosis agents"
2019,"hospitalized","oral",520,615101466,"5200089D1045",9.8,0,3825,37485,"Ibaraki","Kantō","Kampo preparations"
2016,"pharmacy","topical",225,620004227,"2259707S1080",24.9,1,2694,67080.6,"Wakayama","Kinki","Bronchodilators"
2018,"pharmacy","oral",333,613330004,"3332001F2012",9.9,0,59772,591742.8,"Kagawa","Shikoku","Anticoagulants"
2017,"hospitalized","injection",339,622244601,"3399409G2024",8238,1,0,0,"Kanagawa","Kantō","Other blood and body fluid agents"
2016,"pharmacy","oral",520,615101484,"5200111D1076",9.4,0,1975101,18565949.4,"Gifu","Chūbu","Kampo preparations"
2020,"outpatients","injection",121,620000197,"1214406A3022",79,0,736,58144,"Tochigi","Kantō","Local anesthetics"
2020,"outpatients","injection",249,622266601,"2499407G2042",21901,1,2136,46780536,"Okayama","Chūgoku","Other hormonal preparations (including antihormonal agents)"
2018,"pharmacy","injection",341,620005157,"3410537D1020",1412,0,NA,NA,"Kyōto","Kinki","Hemodialysis agents for artificial kidney"
2019,"pharmacy","oral",429,622115801,"4291012F1030",219.7,1,24152,5306194.4,"Kumamoto","Kyūshū","Other antineoplastic agents"
2018,"pharmacy","oral",339,621314901,"3399002F2288",27.6,1,706052.5,19487049,"Chiba","Kantō","Other blood and body fluid agents"
2019,"outpatients","oral",615,616150063,"6152005M1043",20.4,0,0,0,"Shiga","Kinki","Agents mainly active against Gram-positive and Gram-negative bacteria, rickettsia, and chlamydia"
2016,"pharmacy","oral",313,620701701,"3134003F1396",5.6,1,49223,275648.8,"Aomori","Tōhoku","Vitamin B preparations (excluding vitamin B1)"
2018,"hospitalized","topical",264,660407078,"2649895S1044",0.88,1,0,0,"Tokushima","Shikoku","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2020,"outpatients","oral",399,622554801,"3999021F1112",39.4,1,2775,109335,"Kagoshima","Kyūshū","Metabolic agents not elsewhere classified"
2023,"pharmacy","topical",114,621968301,"1141700J1088",27.6,0,0,0,"Miyagi","Tōhoku","Antipyretic, analgesic and anti-inflammatory drugs"
2023,"pharmacy","oral",222,621369301,"2223001C1045",6.9,1,65219.034,450011.3346,"Saitama","Kantō","Antitussives"
2022,"pharmacy","injection",392,620008921,"3921400A1032",444,0,0,0,"Mie","Chūbu","Antidotes"
2019,"pharmacy","topical",252,620007756,"2529707H1063",36.7,0,9209,337970.3,"Fukuoka","Kyūshū","Genital organ preparations (including STD prophylactics)"
2017,"hospitalized","oral",119,622095001,"1190012F3193",85.5,1,0,0,"Aichi","Chūbu","Other central nervous system drugs"
2018,"outpatients","topical",713,667130005,"7131700X1014",0.29,0,36692.9,10640.941,"Shimane","Chūgoku","Solubilizing agents"
2016,"hospitalized","injection",211,640421064,"2119408G1027",9482,0,0,0,"Wakayama","Kinki","Cardiotonic agents"
2018,"pharmacy","oral",223,620389404,"2239001F1017",5.6,1,76203,426736.8,"Toyama","Chūbu","Expectorants"
2023,"hospitalized","oral",429,620003507,"4291010F1031",238.9,0,7931,1894715.9,"Ōsaka","Kinki","Other antineoplastic agents"
2017,"hospitalized","oral",259,620564329,"2590002F1010",7.9,1,6280,49612,"Kyōto","Kinki","Other genitourinary and anorectal drugs"
2020,"hospitalized","injection",313,643130075,"3132400A2012",95,0,0,0,"Fukushima","Tōhoku","Vitamin B preparations (excluding vitamin B1)"
2017,"outpatients","oral",441,620938601,"4419006F1416",5.4,1,4831,26087.4,"Okayama","Chūgoku","Antihistamines"
2015,"outpatients","injection",424,622408501,"4240405A3129",10997,1,0,0,"Tochigi","Kantō","Antineoplastic plant-derived preparations"
2015,"hospitalized","oral",313,613130552,"3136004F2014",5.6,1,0,0,"Yamaguchi","Chūgoku","Vitamin B preparations (excluding vitamin B1)"
2015,"pharmacy","oral",642,620005928,"6429007F1033",414.3,0,0,0,"Shizuoka","Chūbu","Anthelmintics"
2016,"outpatients","injection",342,621318501,"3420430A6049",1708,0,1233,2105964,"Gifu","Chūbu","Peritoneal dialysis agents"
2020,"hospitalized","oral",811,620006579,"8115001F1017",79.5,0,0,0,"Kyōto","Kinki","Opium alkaloid narcotics"
2018,"pharmacy","injection",634,622333301,"6343440D4022",108945,0,NA,NA,"Aomori","Tōhoku","Blood products"
2019,"hospitalized","injection",323,640412110,"3231400G6035",165,1,0,0,"Gunma","Kantō","Carbohydrate preparations"
2020,"hospitalized","oral",116,620119906,"1169001F1016",8.7,0,12739.5,110833.65,"Miyazaki","Kyūshū","Anti-Parkinson drugs"
2021,"outpatients","injection",239,620005664,"2391400A4039",1427,1,0,0,"Iwate","Tōhoku","Other gastrointestinal drugs"
2016,"outpatients","oral",259,622306401,"2590016F1020",118.3,0,0,0,"Shimane","Chūgoku","Other genitourinary and anorectal drugs"
2015,"pharmacy","oral",249,610407430,"2499007F2028",392.3,0,0,0,"Yamanashi","Chūbu","Other hormonal preparations (including antihormonal agents)"
2015,"outpatients","oral",259,620006607,"2590004F1010",16.5,1,179463,2961139.5,"Tokyo","Kantō","Other genitourinary and anorectal drugs"
2017,"pharmacy","oral",313,613130519,"3136004F1077",5.6,1,6083,34064.8,"Aomori","Tōhoku","Vitamin B preparations (excluding vitamin B1)"
2018,"hospitalized","injection",613,621345301,"6132400F3192",288,1,5169.17,1488720.96,"Mie","Chūbu","Agents mainly active against Gram-positive and Gram-negative bacteria"
2021,"hospitalized","injection",341,620822301,"3410520A5032",2251,0,0,0,"Wakayama","Kinki","Hemodialysis agents for artificial kidney"
2018,"pharmacy","topical",264,660407078,"2649895S1044",0.88,1,1230560,1082892.8,"Chiba","Kantō","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2017,"outpatients","oral",219,621405701,"2190021F1011",9.6,1,147145,1412592,"Tokyo","Kantō","Other cardiovascular drugs"
2015,"hospitalized","injection",249,622198901,"2492419G1021",2619,0,6445.76352,16881454.65888,"Chiba","Kantō","Other hormonal preparations (including antihormonal agents)"
2023,"hospitalized","topical",332,620805101,"3326700X2030",280.4,0,0,0,"Kagoshima","Kyūshū","Hemostatic agents"
2020,"outpatients","oral",520,620005406,"5200075F1052",6.4,0,76259,488057.6,"Kōchi","Shikoku","Kampo preparations"
2016,"pharmacy","topical",223,620385701,"2233700G1070",49.6,1,0,0,"Fukushima","Tōhoku","Expectorants"
2018,"pharmacy","injection",219,620365705,"2190406A1136",971,1,0,0,"Nagasaki","Kyūshū","Other cardiovascular drugs"
2019,"pharmacy","injection",331,643310335,"3311401H2016",122,0,0,0,"Kagawa","Shikoku","Blood substitutes"
2017,"pharmacy","oral",510,615100517,"5100158X1014",2.85,0,300808,857302.8,"Kanagawa","Kantō","Crude drugs"
2015,"outpatients","topical",269,620007581,"2699801V1017",11.9,1,0,0,"Tokushima","Shikoku","Other dermatological preparations"
2017,"outpatients","oral",624,621489001,"6241008F1112",22,1,0,0,"Tokushima","Shikoku","Synthetic antibacterial agents"
2019,"hospitalized","oral",624,620006972,"6241006F1121",81.3,0,0,0,"Toyama","Chūbu","Synthetic antibacterial agents"
2019,"hospitalized","injection",211,620008927,"2119400A2032",1024,0,0,0,"Ōita","Kyūshū","Cardiotonic agents"
2020,"outpatients","oral",429,620009095,"4291020F1027",4059.3,0,1766,7168723.8,"Ibaraki","Kantō","Other antineoplastic agents"
2017,"pharmacy","topical",712,667120009,"7121708X1014",1.77,0,0,0,"Nagano","Chūbu","Ointment bases"
2016,"hospitalized","oral",114,621677503,"1141007F2043",8.5,1,0,0,"Yamanashi","Chūbu","Antipyretic, analgesic and anti-inflammatory drugs"
2016,"pharmacy","oral",311,621576003,"3112004M1015",7.6,1,0,0,"Kumamoto","Kyūshū","Vitamin A and D preparations"
2021,"outpatients","injection",430,644300011,"4300445A1023",24000,0,0,0,"Yamagata","Tōhoku","Radiopharmaceuticals"
2020,"hospitalized","oral",520,615101256,"5200136C1020",8.7,0,0,0,"Saga","Kyūshū","Kampo preparations"
2021,"hospitalized","oral",213,620263901,"2132003F1451",6.2,1,0,0,"Akita","Tōhoku","Diuretics"
2017,"hospitalized","oral",233,620464101,"2339003B1206",18.3,1,0,0,"Tokyo","Kantō","Digestive agents"
2021,"pharmacy","injection",229,622680601,"2290400G2028",29147,0,0,0,"Aomori","Tōhoku","Other respiratory drugs"
2022,"outpatients","injection",821,621899203,"8219400A1012",181,1,0,0,"Ishikawa","Chūbu","Synthetic narcotics"
2022,"hospitalized","oral",313,620696210,"3133001C1016",6.3,1,0,0,"Saga","Kyūshū","Vitamin B preparations (excluding vitamin B1)"
2021,"hospitalized","injection",611,621487701,"6113400A1014",681,1,0,0,"Saitama","Kantō","Agents mainly active against Gram-positive bacteria"
2018,"outpatients","injection",121,640451002,"1214405A3028",504,0,0,0,"Kagawa","Shikoku","Local anesthetics"
2019,"pharmacy","oral",399,622305801,"3999033F1026",93.3,0,90198,8415473.4,"Tochigi","Kantō","Metabolic agents not elsewhere classified"
2017,"pharmacy","oral",642,616420020,"6422001X1014",17.8,0,0,0,"Fukui","Chūbu","Anthelmintics"
2016,"pharmacy","oral",234,620479001,"2349101D1245",6.4,1,27531.6,176202.24,"Fukuoka","Kyūshū","Antacids"
2023,"hospitalized","oral",520,615101467,"5200090D1030",5.4,0,67765,365931,"Kumamoto","Kyūshū","Kampo preparations"
2017,"outpatients","injection",429,622045001,"4291419D1026",51421,0,999.751,51408196.171,"Ōita","Kyūshū","Other antineoplastic agents"
2021,"outpatients","injection",611,622477300,"6119400A4017",3219,0,0,0,"Ōsaka","Kinki","Agents mainly active against Gram-positive bacteria"
2021,"pharmacy","oral",510,615102098,"5100171X1036",1.15,0,1455,1673.25,"Wakayama","Kinki","Crude drugs"
2022,"hospitalized","topical",225,620005750,"2259707S2116",25,1,0,0,"Miyazaki","Kyūshū","Bronchodilators"
2016,"hospitalized","oral",520,620005424,"5200140C1042",14.2,0,0,0,"Shimane","Chūgoku","Kampo preparations"
2020,"hospitalized","injection",342,621317401,"3420429A3047",720,0,0,0,"Hiroshima","Chūgoku","Peritoneal dialysis agents"
2020,"pharmacy","oral",711,620001120,"7111001X1086",1.82,0,0,0,"Akita","Tōhoku","Excipients"
2019,"pharmacy","topical",821,622042001,"8219700T2022",1005.9,0,0,0,"Kōchi","Shikoku","Synthetic narcotics"
2023,"pharmacy","oral",117,622135901,"1179041G1020",49.3,0,409159,20171538.7,"Nagano","Chūbu","Psychotropic drugs"
2018,"outpatients","oral",811,622550301,"8119003F2020",202.8,0,0,0,"Kagawa","Shikoku","Opium alkaloid narcotics"
2022,"outpatients","oral",311,620675301,"3112001F1055",11.5,0,3635,41802.5,"Yamagata","Tōhoku","Vitamin A and D preparations"
2022,"outpatients","oral",617,622499801,"6179001F2054",655.5,1,0,0,"Gunma","Kantō","Agents mainly active against fungi"
2015,"pharmacy","topical",229,621950701,"2290801G1029",2996.3,0,14812,44381195.6,"Hiroshima","Chūgoku","Other respiratory drugs"
2015,"outpatients","oral",811,620009225,"8115002B2016",147.1,0,0,0,"Fukui","Chūbu","Opium alkaloid narcotics"
2020,"pharmacy","oral",714,617140021,"7149006X1221",14.1,0,0,0,"Miyazaki","Kyūshū","Flavoring, deodorizing, and coloring agents"
2020,"hospitalized","injection",639,620002419,"6399420D2028",30835,0,0,0,"Kanagawa","Kantō","Other biological preparations"
2016,"outpatients","injection",312,620004309,"3121400A2019",82,0,2007,164574,"Gunma","Kantō","Vitamin B1 preparations"
2022,"hospitalized","oral",441,610453057,"4413004C2022",46.1,0,0,0,"Kumamoto","Kyūshū","Antihistamines"
2021,"outpatients","injection",341,620007213,"3410521A1031",1294,0,0,0,"Hyōgo","Kinki","Hemodialysis agents for artificial kidney"
2017,"outpatients","injection",249,620000269,"2492413G5054",1993,0,0,0,"Miyagi","Tōhoku","Other hormonal preparations (including antihormonal agents)"
2018,"pharmacy","oral",317,620718601,"3179102F1030",5.6,0,0,0,"Akita","Tōhoku","Multivitamin preparations (excluding vitamin A–D combinations)"
2016,"pharmacy","oral",213,620002860,"2139001Q1020",104.6,0,34696,3629201.6,"Fukui","Chūbu","Diuretics"
2019,"hospitalized","oral",520,615101425,"5200046D1039",10.5,0,11995,125947.5,"Okayama","Chūgoku","Kampo preparations"
2019,"hospitalized","injection",713,622618700,"7131400H3018",216,0,0,0,"Shizuoka","Chūbu","Solubilizing agents"
2017,"pharmacy","oral",394,622013302,"3943001F2256",6,1,38680,232080,"Nagano","Chūbu","Anti-gout agents"
2022,"pharmacy","oral",399,622633401,"3999044F1024",271.9,0,482577,131212686.3,"Hyōgo","Kinki","Metabolic agents not elsewhere classified"
2016,"outpatients","topical",261,620007721,"2619819X1092",0.68,1,0,0,"Kagoshima","Kyūshū","External antiseptics and disinfectants"
2021,"outpatients","injection",449,622815701,"4490404A1043",4301,0,0,0,"Tochigi","Kantō","Other antiallergic agents"
2016,"outpatients","oral",313,620689802,"3131002C1083",6.2,1,0,0,"Ōita","Kyūshū","Vitamin B preparations (excluding vitamin B1)"
2023,"outpatients","oral",321,610441037,"3211001X1016",2.28,0,0,0,"Niigata","Chūbu","Calcium preparations"
2016,"hospitalized","topical",235,662350105,"2359700J1010",19.3,0,0,0,"Hyōgo","Kinki","Laxatives and enemas"
2023,"outpatients","oral",311,613990072,"3119001M1020",343.7,0,0,0,"Saga","Kyūshū","Vitamin A and D preparations"
2023,"hospitalized","topical",225,620006374,"2259801X1037",5.2,0,6131.7,31884.84,"Fukushima","Tōhoku","Bronchodilators"
2016,"outpatients","oral",255,620007082,"2559101X1036",14.4,0,0,0,"Nara","Kinki","Anti-hemorrhoidal agents"
2022,"pharmacy","oral",624,622376401,"6241013F3019",57,1,1241.5,70765.5,"Saga","Kyūshū","Synthetic antibacterial agents"
2018,"hospitalized","oral",392,620006798,"3929008X1029",1194.8,0,1239,1480357.2,"Saitama","Kantō","Antidotes"
2016,"outpatients","injection",392,643920037,"3925400A1015",464,0,0,0,"Wakayama","Kinki","Antidotes"
2021,"hospitalized","oral",311,620676348,"3112001M2018",5.9,1,1152,6796.8,"Kōchi","Shikoku","Vitamin A and D preparations"
2022,"outpatients","injection",133,641160001,"1339500A1025",63,0,943,59409,"Saitama","Kantō","Antivertigo drugs"
2018,"pharmacy","injection",625,621384302,"6250401A1085",535,1,NA,NA,"Tottori","Chūgoku","Antiviral agents"
2020,"hospitalized","injection",625,622626401,"6250406A1029",18228,0,2417,44057076,"Fukuoka","Kyūshū","Antiviral agents"
2015,"outpatients","injection",611,621066401,"6119400A2111",2633,1,0,0,"Aomori","Tōhoku","Agents mainly active against Gram-positive bacteria"
2017,"outpatients","injection",342,622300001,"3420434A2025",1496,0,0,0,"Yamanashi","Chūbu","Peritoneal dialysis agents"
2020,"outpatients","topical",119,622828101,"1190700S1070",137.1,1,0,0,"Saga","Kyūshū","Other central nervous system drugs"
2021,"pharmacy","injection",241,620008905,"2412402L1031",32798,0,0,0,"Ehime","Shikoku","Pituitary hormone preparations"
2018,"pharmacy","oral",614,620003930,"6149003F2100",28.1,1,331830,9324423,"Kōchi","Shikoku","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2020,"pharmacy","oral",222,620379101,"2229100B1110",6.5,1,26137.75,169895.375,"Saitama","Kantō","Antitussives"
2018,"outpatients","oral",225,620008720,"2259002F1090",14.5,0,8783.5,127360.75,"Okayama","Chūgoku","Bronchodilators"
2022,"pharmacy","oral",311,620676829,"3112001M3014",6.4,1,56719,363001.6,"Ehime","Shikoku","Vitamin A and D preparations"
2020,"outpatients","topical",229,622816701,"2290801G2050",2135.9,1,1425,3043657.5,"Kyōto","Kinki","Other respiratory drugs"
2019,"outpatients","oral",422,620009353,"4229101D1025",674.4,0,0,0,"Iwate","Tōhoku","Antimetabolites"
2018,"pharmacy","topical",263,620005245,"2639700N1032",34.5,0,216068.202,7454352.969,"Tochigi","Kantō","Agents for suppurative diseases"
2019,"outpatients","oral",233,620470103,"2339188B1036",6.2,0,0,0,"Kōchi","Shikoku","Digestive agents"
2015,"outpatients","injection",399,620888601,"3999401A2010",70,1,0,0,"Nara","Kinki","Metabolic agents not elsewhere classified"
2021,"pharmacy","oral",311,620004528,"3111002F1036",10.3,0,227401,2342230.3,"Aichi","Chūbu","Vitamin A and D preparations"
2020,"pharmacy","oral",711,617110011,"7112003X1015",0.75,0,0,0,"Aomori","Tōhoku","Excipients"
2016,"hospitalized","oral",232,620004035,"2325003F3124",9.9,1,0,0,"Chiba","Kantō","Anti-peptic ulcer agents"
2022,"pharmacy","injection",399,629916901,"3999465D1028",121034,0,0,0,"Tokushima","Shikoku","Metabolic agents not elsewhere classified"
2020,"outpatients","injection",616,620007539,"6169400A1036",320,0,0,0,"Fukui","Chūbu","Agents mainly active against mycobacteria"
2015,"pharmacy","oral",225,621369723,"2259004F2010",5.8,1,8182,47455.6,"Akita","Tōhoku","Bronchodilators"
2019,"outpatients","topical",266,620005287,"2669701M2100",6.3,0,16580.3,104455.89,"Yamanashi","Chūbu","Skin emollients (including caustic agents)"
2023,"outpatients","oral",322,620732901,"3229102F1107",5.9,0,0,0,"Nagano","Chūbu","Mineral preparations"
2018,"outpatients","topical",265,620007793,"2655708N1229",10.2,1,2520,25704,"Fukushima","Tōhoku","Antiparasitic dermatological agents"
2022,"hospitalized","injection",421,622922101,"4219405A2030",12565,1,0,0,"Mie","Chūbu","Alkylating agents"
2017,"pharmacy","injection",331,620007344,"3319510A4083",121,1,638,77198,"Tochigi","Kantō","Blood substitutes"
2015,"pharmacy","topical",121,620007779,"1214701S1051",48.1,0,0,0,"Kagawa","Shikoku","Local anesthetics"
2023,"pharmacy","injection",331,620006237,"3311401A9110",212,0,8979,1903548,"Ōsaka","Kinki","Blood substitutes"
2018,"hospitalized","oral",217,620003886,"2171022F3021",23.3,0,5365.5,125016.15,"Hiroshima","Chūgoku","Vasodilators"
2018,"hospitalized","oral",112,610443047,"1129009F1025",37,0,7534,278758,"Okinawa","Kyūshū","Hypnotics and sedatives; anxiolytics"
2018,"hospitalized","injection",423,622622401,"4239401D1026",1307092,0,0,0,"Fukui","Chūbu","Antineoplastic antibiotic preparations"
2020,"hospitalized","injection",634,629903701,"6343432G5020",142397,0,0,0,"Ōsaka","Kinki","Blood products"
2022,"hospitalized","oral",214,621468802,"2144002F2012",10.1,1,18428.04,186123.204,"Aichi","Chūbu","Antihypertensive agents"
